list-none-none,1,10,1,30,65651,2188
list-none-none,1,100,1,300,100160,333
list-none-none,1,1000,1,3000,3279957,1093
list-none-none,1,10000,1,30000,713097524,23769
list-none-none,1,20000,1,60000,3834375758,63906
list-none-none,2,1,1,6,140009,23334
list-none-none,2,10,1,60,136980,2283
list-none-none,2,100,1,600,154216,257
list-none-none,2,1000,1,6000,10225796,1704
list-none-none,4,1,1,12,535851,44654
list-none-none,4,10,1,120,242809,2023
list-none-none,4,100,1,1200,570294,475
list-none-none,8,1,1,24,1094774,45615
list-none-none,8,10,1,240,980293,4084
list-none-none,8,100,1,2400,1105218,460
list-none-none,12,1,1,36,1695165,47087
list-none-none,12,10,1,360,1553814,4316
list-none-none,12,100,1,3600,419500,116
list-i-none,2,1,1,6,102189,17031
list-i-none,2,2,1,12,117162,9763
list-i-none,2,4,1,24,99296,4137
list-i-none,2,8,1,48,119324,2485
list-i-none,2,16,1,96,106130,1105
list-i-none,2,32,1,192,130241,678
list-i-none,4,1,1,12,151364,12613
list-i-none,4,2,1,24,144981,6040
list-i-none,4,4,1,48,181581,3782
list-i-none,4,8,1,96,142549,1484
list-i-none,4,16,1,192,223293,1162
list-i-none,4,32,1,384,559708,1457
list-i-none,8,1,1,24,248566,10356
list-i-none,8,2,1,48,245738,5119
list-i-none,8,4,1,96,242307,2524
list-i-none,8,8,1,192,254883,1327
list-i-none,8,16,1,384,269091,700
list-i-none,8,32,1,768,363297,473
list-i-none,12,1,1,36,388459,10790
list-i-none,12,2,1,72,379034,5264
list-i-none,12,4,1,144,574189,3987
list-i-none,12,8,1,288,380262,1320
list-i-none,12,16,1,576,428593,744
list-i-none,12,32,1,1152,467025,405
list-d-none,2,1,1,6,84465,14077
list-d-none,2,2,1,12,293530,24460
list-d-none,2,4,1,24,242963,10123
list-d-none,2,8,1,48,301427,6279
list-d-none,2,16,1,96,302605,3152
list-d-none,2,32,1,192,235188,1224
list-d-none,4,1,1,12,567771,47314
list-d-none,4,2,1,24,451109,18796
list-d-none,4,4,1,48,147390,3070
list-d-none,4,8,1,96,149234,1554
list-d-none,4,32,1,384,211383,550
list-d-none,8,1,1,24,249347,10389
list-d-none,8,2,1,48,289251,6026
list-d-none,8,4,1,96,268549,2797
list-d-none,8,8,1,192,287003,1494
list-d-none,8,16,1,384,982656,2559
list-d-none,8,32,1,768,339354,441
list-d-none,12,1,1,36,363251,10090
list-d-none,12,2,1,72,1653482,22965
list-d-none,12,4,1,144,1447367,10051
list-d-none,12,8,1,288,1607498,5581
list-d-none,12,16,1,576,6119451,10624
list-d-none,12,32,1,1152,1586982,1377
list-il-none,2,1,1,6,240222,40037
list-il-none,2,2,1,12,295272,24606
list-il-none,2,4,1,24,260721,10863
list-il-none,2,8,1,48,299460,6238
list-il-none,2,16,1,96,372663,3881
list-il-none,2,32,1,192,385448,2007
list-il-none,4,1,1,12,499722,41643
list-il-none,4,2,1,24,463809,19325
list-il-none,4,4,1,48,483080,10064
list-il-none,4,8,1,96,579262,6033
list-il-none,4,16,1,192,490362,2553
list-il-none,4,32,1,384,603955,1572
list-il-none,8,1,1,24,1024252,42677
list-il-none,8,2,1,48,1094936,22811
list-il-none,8,4,1,96,1029711,10726
list-il-none,8,8,1,192,473898,2468
list-il-none,8,16,1,384,1076572,2803
list-il-none,8,32,1,768,1179444,1535
list-il-none,12,1,1,36,1629089,45252
list-il-none,12,2,1,72,1728983,24013
list-il-none,12,4,1,144,1655504,11496
list-il-none,12,8,1,288,617725,2144
list-il-none,12,32,1,1152,494463,429
list-dl-none,2,1,1,6,114956,19159
list-dl-none,2,2,1,12,127553,10629
list-dl-none,2,4,1,24,123639,5151
list-dl-none,2,8,1,48,135946,2832
list-dl-none,2,16,1,96,121240,1262
list-dl-none,2,32,1,192,502207,2615
list-dl-none,4,1,1,12,585071,48755
list-dl-none,4,2,1,24,529544,22064
list-dl-none,4,4,1,48,514544,10719
list-dl-none,4,8,1,96,209690,2184
list-dl-none,4,32,1,384,252596,657
list-dl-none,8,1,1,24,353206,14716
list-dl-none,8,2,1,48,259110,5398
list-dl-none,8,4,1,96,339994,3541
list-dl-none,8,8,1,192,344114,1792
list-dl-none,8,16,1,384,301265,784
list-dl-none,8,32,1,768,297860,387
list-dl-none,12,1,1,36,392367,10899
list-dl-none,12,2,1,72,409323,5685
list-dl-none,12,4,1,144,361907,2513
list-dl-none,12,8,1,288,379307,1317
list-dl-none,12,16,1,576,411890,715
list-dl-none,12,32,1,1152,1905922,1654
list-i-m,12,32,1,1152,1812791,1573
list-d-m,12,32,1,1152,1638715,1422
list-il-m,12,32,1,1152,1635714,1419
list-dl-m,12,32,1,1152,1743203,1513
list-i-s,12,32,1,1152,1643453,1426
list-d-s,12,32,1,1152,1625079,1410
list-il-s,12,32,1,1152,1723641,1496
list-dl-s,12,32,1,1152,1575382,1367
list-none-m,1,1000,1,3000,5574177,1858
list-none-m,2,1000,1,6000,2146617,357
list-none-m,4,1000,1,12000,1318922,109
list-none-m,8,1000,1,24000,1187889,49
list-none-m,12,1000,1,36000,2036742,56
list-none-m,16,1000,1,48000,779177,16
list-none-m,24,1000,1,72000,910293,12
list-none-s,1,1000,1,3000,3276430,1092
list-none-s,2,1000,1,6000,1914797,319
list-none-s,4,1000,1,12000,1338728,111
list-none-s,8,1000,1,24000,1009929,42
list-none-s,12,1000,1,36000,866513,24
list-none-s,16,1000,1,48000,901345,18
list-none-s,24,1000,1,72000,979691,13
