add-none,2,10,40,167359,4183,0
add-none,4,10,80,218416,2730,0
add-none,8,10,160,289858,1811,0
add-none,12,10,240,413449,1722,0
add-none,2,20,80,119529,1494,0
add-none,4,20,160,220253,1376,0
add-none,8,20,320,311021,971,0
add-none,12,20,480,439081,914,0
add-none,2,40,160,143236,895,0
add-none,4,40,320,175939,549,0
add-none,8,40,640,1070391,1672,0
add-none,12,40,960,541815,564,0
add-none,2,80,320,182537,570,0
add-none,4,80,640,213884,334,0
add-none,8,80,1280,333575,260,0
add-none,12,80,1920,445776,232,3
add-none,2,100,400,120193,300,0
add-none,4,100,800,201738,252,0
add-none,8,100,1600,294465,184,0
add-none,12,100,2400,423778,176,0
add-none,2,1000,4000,144930,36,230
add-none,4,1000,8000,230860,28,96
add-none,8,1000,16000,447968,27,-361
add-none,12,1000,24000,495143,20,-54
add-none,2,10000,40000,607083,15,-2374
add-none,4,10000,80000,1297242,16,1074
add-none,8,10000,160000,2690432,16,331
add-none,12,10000,240000,3670034,15,-428
add-none,2,100000,400000,5289465,13,-5028
add-none,4,100000,800000,10779729,13,-17272
add-none,8,100000,1600000,22869582,14,-67907
add-none,12,100000,2400000,34059639,14,-13070
add-yield-none,1,10,20,154530,7726,0
add-yield-none,1,20,40,172019,4300,0
add-yield-none,1,80,160,310545,1940,0
add-yield-none,1,100,200,244281,1221,0
add-yield-none,1,1000,2000,1448039,724,0
add-yield-none,1,10000,20000,13240324,662,0
add-yield-none,1,100000,200000,123816786,619,0
add-yield-none,2,10,40,167483,4187,0
add-yield-none,4,10,80,217735,2721,8
add-yield-none,8,10,160,353418,2208,9
add-yield-none,12,10,240,403280,1680,18
add-yield-none,2,20,80,191217,2390,0
add-yield-none,4,20,160,191276,1195,21
add-yield-none,8,20,320,339571,1061,49
add-yield-none,12,20,480,455100,948,59
add-yield-none,2,40,160,198964,1243,3
add-yield-none,4,40,320,285070,890,40
add-yield-none,8,40,640,358374,559,59
add-yield-none,12,40,960,444919,463,69
add-yield-none,2,80,320,281177,878,8
add-yield-none,4,80,640,311773,487,64
add-yield-none,8,80,1280,534960,417,4
add-yield-none,12,80,1920,509966,265,120
add-yield-none,2,100,400,306531,766,1
add-yield-none,4,100,800,352229,440,75
add-yield-none,8,100,1600,477595,298,132
add-yield-none,12,100,2400,501043,208,182
add-yield-none,2,1000,4000,1745596,436,21
add-yield-none,4,1000,8000,1814958,226,47
add-yield-none,8,1000,16000,2025096,126,116
add-yield-none,12,1000,24000,2782362,115,209
add-yield-none,2,10000,40000,15723698,393,21
add-yield-none,4,10000,80000,16126144,201,-346
add-yield-none,8,10000,160000,18854426,117,-1679
add-yield-none,12,10000,240000,24431317,101,194
add-yield-none,2,100000,400000,151322166,378,-1569
add-yield-none,4,100000,800000,157317211,196,1207
add-yield-none,8,100000,1600000,179202245,112,-3284
add-yield-none,12,100000,2400000,247597390,103,-5973
add-none,1,1,2,142955,71477,0
add-none,1,5,10,139633,13963,0
add-none,1,10,20,148474,7423,0
add-none,1,50,100,143406,1434,0
add-none,1,100,200,150747,753,0
add-none,1,500,1000,165530,165,0
add-none,1,1000,2000,142354,71,0
add-none,1,5000,10000,193145,19,0
add-none,1,10000,20000,255345,12,0
add-yield-m,1,10000,20000,13466872,673,0
add-yield-m,2,10000,40000,42140365,1053,0
add-yield-m,4,10000,80000,106887436,1336,0
add-yield-m,8,10000,160000,242731577,1517,0
add-yield-m,12,10000,240000,370083861,1542,0
add-yield-s,1,1000,2000,1505563,752,0
add-yield-s,2,1000,4000,3061014,765,0
add-yield-s,4,1000,8000,8049607,1006,0
add-yield-s,8,1000,16000,21491350,1343,0
add-yield-s,12,1000,24000,36847946,1535,0
add-yield-c,1,10000,20000,584258,29,0
add-yield-c,2,10000,40000,2319107,57,0
add-yield-c,4,10000,80000,6285206,78,0
add-yield-c,8,10000,160000,12268633,76,0
add-yield-c,12,10000,240000,22774564,94,0
add-m,1,10000,20000,893289,44,0
add-m,2,10000,40000,3407891,85,0
add-m,4,10000,80000,12402945,155,0
add-m,8,10000,160000,25194727,157,0
add-m,12,10000,240000,35921297,149,0
add-s,1,10000,20000,371882,18,0
add-s,2,10000,40000,14590457,364,0
add-s,4,10000,80000,42129683,526,0
add-s,8,10000,160000,132184636,826,0
add-s,12,10000,240000,246116119,1025,0
add-c,1,10000,20000,1399479,69,0
add-c,2,10000,40000,2053530,51,0
add-c,4,10000,80000,6189829,77,0
add-c,8,10000,160000,13430769,83,0
add-c,12,10000,240000,22416054,93,0
